"","Row","MasterGridDataID","ObjLabel","TypeName","IsClosed","FilingDate","NumString","Applicant","Location","Descr","Status","StatusDate","ModifiedDate","PublicDocCount","Zoning","X","Y","HouseNum","HouseNumInt","StreetName","City","St","Zip","Parcel","Guid","Origin","Division","Last.Compliance.Date","Open.Violations","Total.Violations","Date.Received","Date.Certified.Letter.Sent","Date.Letter.Picked.Up","Address","Comments","id","address","city","stateprov","country","name","desc","color","Source.of.Concern","type","era","geometry"
"45",1008,219243,"Code Incident","Tall Grass and Weeds","True",2020-07-10,"2007C-0014-TGW","Anonymous","685 E Wolfe St","Tall grass and weeds","Tall Weeds and Grass Notice","7/10/2020 10:27:26 AM","7/20/2020 10:21:27 AM",0,"B-2",11380945.91,6846994.57,"685",685,"E Wolfe St","Harrisonburg","VA",22802,"033 V 15","1d6cd955-30a3-4a22-971f-878371d6447a","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8560667, 38.4496346)
"46",1020,219480,"Code Incident","Tall Grass and Weeds","True",2020-08-05,"2008C-0002-TGW","Anonymous","945 Drake Ln","Tall grass","Tall Weeds and Grass Notice","8/5/2020 3:11:22 PM","8/14/2020 3:11:13 PM",0,"R-7",11378743.53,6851438.09,"945",945,"Drake Ln","Harrisonburg","VA",22802,"040 B 49","b212cff0-f589-4ea7-bd65-5ec31886602e","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8638185, 38.4618125)
"47",1027,219477,"Code Incident","Tall Grass and Weeds","True",2020-08-05,"2008C-0001-TGW","Anonymous","2125 Whispering Springs Rd","Tall grass","Tall Weeds and Grass Notice","8/25/2020 9:00:04 AM","8/25/2020 9:00:10 AM",0,"R-1",11372504.77,6834213.53,"2125",2125,"Whispering Springs Rd","Harrisonburg","VA",22801,"003 C 24","27e23a78-71a8-4b61-8aca-85e216e8b3e9","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8853542, 38.414445)
"48",1034,219753,"Code Incident","Tall Grass and Weeds","True",2020-08-17,"2008C-0015-TGW","","150 South Ave","Tall grass","Door Hanger","9/4/2020 8:45:05 AM","9/4/2020 9:18:06 AM",0,"R-2",11371711.01,6842318.56,"150",150,"South Ave","Harrisonburg","VA",22801,"019 K  4","9d2a3917-da51-401b-adf7-03eb06d46f0a","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8882442, 38.4366918)
"49",1045,219237,"Code Incident","Tall Grass and Weeds","True",2020-07-09,"2007C-0012-TGW","","2201 Reservoir St","","Tall Weeds and Grass Notice","7/9/2020 4:09:31 PM","9/17/2020 10:07:47 AM",0,"R-3",11381622.75,6836769.89,"2201",2201,"Reservoir St","Harrisonburg","VA",22801,"080 A 15","0559c42a-2629-4f75-925a-4a7fd6992a87","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8535658, 38.4215654)
"50",1061,219876,"Code Incident","Tall Grass and Weeds","True",2020-09-08,"2009C-0016-JNK","Anonymous","441 Queen Anne Ct","Tall grass","Tall Weeds and Grass Notice","9/8/2020 5:01:32 PM","10/15/2020 8:31:35 AM",0,"R-3",11368253.82,6841897.26,"441",441,"Queen Anne Ct","Harrisonburg","VA",22801,"021 H  8","2e26123e-4190-4b8c-a727-e3d3d1054fad","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.9003074, 38.4354941)
"51",1066,220505,"Code Incident","Tall Grass and Weeds","True",2020-10-05,"2010C-0001-TGW","Anonymous","2125 Whispering Springs Rd","Tall grass","Violations Remedied","10/19/2020 3:45:00 PM","10/21/2020 9:21:59 AM",0,"R-1",11372504.77,6834213.53,"2125",2125,"Whispering Springs Rd","Harrisonburg","VA",22801,"003 C 24","005a09c0-36a2-44de-a8db-fa684765e4c9","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8853542, 38.414445)
"52",1231,226532,"Code Incident","Tall Grass and Weeds","True",2021-06-15,"2106C-0018-TGW","Anonymous","1080 Starcrest Dr","Tall grass on property.","Return Receipt Rc'd","6/17/2021 12:00:00 AM","7/8/2021 10:11:42 AM",0,NA,-1,-1,"",0,"","","",NA,"","5d3c5c5d-ada3-4a69-a8a3-1a7989210c21","Citizen","P&Z","6/29/2021 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-1, -1)
"53",1246,226743,"Code Incident","Tall Grass and Weeds","True",2021-07-01,"2107C-0002-TGW","Anonymous","580 Alleghany Ave","Tall grass on property.","Return Receipt Rc'd","7/20/2021 9:04:36 AM","7/20/2021 9:06:05 AM",0,NA,11383217.21,6844442.05,"560",560,"Alleghany Ave","Harrisonburg","VA",22802,"029 E 24","6b8c1d75-40b9-4933-82a4-fd22a3c3cb35","Citizen","P&Z","7/15/2021 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8477833, 38.4428917)
"54",1249,226514,"Code Incident","Tall Grass and Weeds","True",2021-06-14,"2106C-0017-TGW","Anonymous","301 Pointe Dr","Tall grass on property.","Return Receipt Rc'd","7/10/2021 12:00:00 AM","7/21/2021 1:32:59 PM",0,NA,11367884.79,6834769.67,"301",301,"Pointe Dr","Harrisonburg","VA",22801,"001 D  8","7c8f7cef-6fcd-4943-bba2-a7fb0a473f08","Citizen","P&Z","6/28/2021 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.9014869, 38.4159178)
"55",1254,226830,"Code Incident","Tall Grass and Weeds","True",2021-07-14,"2107C-0019-TGW","Anonymous","1640 Central Ave","Tall grass on the property.","Return Receipt Rc'd","7/20/2021 12:00:00 AM","7/28/2021 4:09:22 PM",0,NA,11371270.08,6840135.43,"1640",1640,"Central Ave","Harrisonburg","VA",22801,"010 L 17","235e2c93-15f0-4818-bb49-93201285da38","Citizen","P&Z","7/28/2021 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8897512, 38.4306919)
"56",1255,226767,"Code Incident","Tall Grass and Weeds","True",2021-07-06,"2107C-0012-TGW","E Piker Linda Piker Charles","823 Greenbriar Dr","TGW on vacant lot","Return Receipt Rc'd","7/15/2021 12:00:00 AM","7/28/2021 4:10:01 PM",0,NA,11376310.52,6838839.41,"823",823,"Greenbriar Dr","Harrisonburg","VA",22801,"012 K  4","8a137736-0cdb-4a96-b3ee-8e916e647d95","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8721372, 38.4271905)
"57",1256,226745,"Code Incident","Tall Grass and Weeds","True",2021-07-01,"2107C-0003-TGW","Anonymous","77 Rockbridge Cir","Tall grass on property.","Return Receipt Rc'd","7/6/2021 12:00:00 AM","7/28/2021 4:10:33 PM",0,NA,11372151.96,6841404.98,"77",77,"Rockbridge Cir","Harrisonburg","VA",22801,"019 F 11","dbcfc9d0-d1c5-40cb-8497-61dcfd02feda","Citizen","P&Z","7/15/2021 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8866913, 38.4341883)
"58",1261,222538,"Code Incident","Tall Grass and Weeds","True",2021-05-10,"2105C-0003-TGW","Anonymous","723 N Liberty St","Grass is high needs mowed. Junk around the yard. ","Return Receipt Rc'd","6/4/2021 12:00:00 AM","7/29/2021 3:45:00 PM",0,NA,11377753.21,6850304.25,"723",723,"N Liberty St","Harrisonburg","VA",22802,"040 S  9","a059a5c8-9e3e-4012-92b1-4e9b16f0772b","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8672612, 38.4586882)
"59",1328,227871,"Code Incident","Tall Grass and Weeds","True",2021-09-10,"2109C-0007-TGW","Anonymous","711 Foley Rd","Tall grass on property.","Return Receipt Rc'd","9/14/2021 12:00:00 AM","9/24/2021 10:22:19 AM",0,NA,11381279.11,6836837.24,"711",711,"Foley Rd","Harrisonburg","VA",22801,"084 A  2","12d966f1-d29d-4d36-8426-a910eafcc14e","Citizen","P&Z","9/24/2021 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8547661, 38.4217467)
"60",1339,226219,"Code Incident","Tall Grass and Weeds","True",2021-05-17,"2105C-0011-TGW","Anonymous","727 N Liberty St","Tall grass and weeds on the property.","Return Receipt Rc'd","6/2/2021 3:44:49 PM","9/29/2021 8:08:48 AM",0,NA,11377767.27,6850360.69,"727",727,"N Liberty St","Harrisonburg","VA",22802,"040 S  9-A","2be95092-7fe2-4ad0-95f2-58b15af85e10","Citizen","P&Z","5/31/2021 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8672129, 38.4588434)
"61",1340,226222,"Code Incident","Tall Grass and Weeds","True",2021-05-17,"2105C-0012-TGW","Anonymous","704 N Liberty St","Tall grass on the property.","Return Receipt Rc'd","5/21/2021 12:00:00 AM","9/29/2021 8:09:23 AM",0,NA,11377876.35,6850123.08,"704",704,"N Liberty St","Harrisonburg","VA",22802,"040 N  1 2","15248b2a-97a9-44fd-a5e7-088f6946317e","Citizen","P&Z","5/31/2021 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8668287, 38.4581921)
"62",1342,226232,"Code Incident","Tall Grass and Weeds","True",2021-05-18,"2105C-0014-TGW","Anonymous","302 W Bruce St","Tall grass and weeds on property.","Return Receipt Rc'd","5/24/2021 3:36:14 PM","9/29/2021 8:10:38 AM",0,NA,11375603.16,6846495.6,"302",302,"W Bruce St","Harrisonburg","VA",22801,"025 A  1","b9ef58ee-b76f-49cd-a9a4-7bab1323b4e5","Citizen","P&Z","6/1/2021 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8747155, 38.4482061)
"63",1344,226243,"Code Incident","Tall Grass and Weeds","True",2021-05-18,"2105C-0017-TGW","Anonymous","206 Campbell St","Tall grass on property.","Return Receipt Rc'd","5/21/2021 12:00:00 AM","9/29/2021 8:12:02 AM",0,NA,11377673.98,6845455.75,"206",206,"Campbell St","Harrisonburg","VA",22801,"026 N  1","e2bd2d51-0b84-4508-b61a-4ff1bbd7b24f","Citizen","P&Z","6/1/2021 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8674701, 38.4453737)
"64",1347,226320,"Code Incident","Tall Grass and Weeds","True",2021-05-27,"2105C-0031-TGW","Anonymous","981 Smith Ave","Tall grass on vacant lot.","Return Receipt Rc'd","6/1/2021 12:00:00 AM","9/29/2021 8:13:51 AM",0,NA,11373466.88,6853221.53,"981",981,"Smith Ave","Harrisonburg","VA",22802,"048 I 14","efb5623d-c4b5-4471-bc06-d24a3893b210","Citizen","P&Z","6/10/2021 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8822726, 38.4666508)
"65",1352,226337,"Code Incident","Tall Grass and Weeds","True",2021-05-28,"2105C-0040-TGW","Anonymous","173 Logan Ln","Tall grass on property.","Return Receipt Rc'd","6/9/2021 12:00:00 AM","9/29/2021 8:16:57 AM",0,NA,11373011.26,6843399.84,"173",173,"Logan Ln","Harrisonburg","VA",22801,"018 AA32","15d6b33d-8a49-4be5-9ac1-0d76b4887291","Citizen","P&Z","6/11/2021 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8837205, 38.4396759)
"66",1353,226380,"Code Incident","Tall Grass and Weeds","True",2021-06-01,"2106C-0002-TGW","Anonymous","765 Keezletown Rd","Tall grass on property. ","Return Receipt Rc'd","6/3/2021 12:00:00 AM","9/29/2021 8:17:22 AM",0,NA,11386707.11,6840708.79,"765",765,"Keezletown Rd","Harrisonburg","VA",22802,"073 A 13 14","99ddde0e-75b7-494b-a7ca-df32ebcefd6c","Citizen","P&Z","6/15/2021 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8358693, 38.4324338)
"67",1354,226383,"Code Incident","Tall Grass and Weeds","True",2021-06-01,"2106C-0003-TGW","Anonymous","1911 W Market St","Tall grass on property. ","Return Receipt Rc'd","6/9/2021 11:37:35 AM","9/29/2021 8:17:46 AM",0,NA,11367966.55,6849164.11,"1911",1911,"W Market St","Harrisonburg","VA",22801,"123 A  4","639de4ac-655a-4ba9-a9a1-1c4a3c42353b","Citizen","P&Z","6/15/2021 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.9014212, 38.455445)
"68",1355,226385,"Code Incident","Tall Grass and Weeds","True",2021-06-01,"2106C-0004-TGW","Anonymous","1080 Star Crest Dr","Tall grass on property.","Return Receipt Rc'd","6/15/2021 12:00:00 AM","9/29/2021 8:18:07 AM",0,NA,11383277.5,6845932.66,"1080",1080,"Star Crest Dr","Harrisonburg","VA",22802,"029 A  1","cfbe9605-f80e-4a7c-b7dc-87774be4e4b6","Citizen","P&Z","6/15/2021 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8479111, 38.4467432)
"69",1356,226387,"Code Incident","Tall Grass and Weeds","True",2021-06-01,"2106C-0005-TGW","Anonymous","2460 E Market St","Tall grass on empty lot.","Return Receipt Rc'd","6/9/2021 11:25:53 AM","9/29/2021 8:18:27 AM",0,NA,11386453.29,6835800.4,"2460",2460,"E Market St","Harrisonburg","VA",22801,"069 B  5  74 B  1 10","da500ca0-7ba0-4180-bfea-c8eab53111e8","Citizen","P&Z","6/15/2021 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8366925, 38.4189531)
"70",1375,228259,"Code Incident","Tall Grass and Weeds","True",2021-09-30,"2109C-0033-TGW","Anonymous","1385 Port Republic Rd","Tall grass and weeds.","Violations Remedied","10/15/2021 12:30:00 AM","10/14/2021 8:10:06 AM",0,NA,11378192.95,6833817.27,"1385",1385,"Port Republic Rd","Harrisonburg","VA",22801,"088 I  8","0b0c8146-6e06-42af-884c-7a46637f44f8","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8654963, 38.4134208)
"71",1378,228260,"Code Incident","Tall Grass and Weeds","False",2021-09-30,"2109C-0034-TGW","Anonymous","1381 Little Sorrell Dr","Tall grass and weeds.","Return Receipt Rc'd","10/12/2021 2:59:55 PM","10/15/2021 2:21:44 PM",0,NA,11377947.94,6833939.54,"1381",1381,"Little Sorrell Dr","Harrisonburg","VA",22801,"088 H  8","ab52d6a1-8080-4e0d-b24a-470f72436574","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8663531, 38.4137539)
"72",1385,228239,"Code Incident","Tall Grass and Weeds","True",2021-09-28,"2109C-0029-TGW","Anonymous","2125 Whispering Springs Rd","Tall grass and weeds.","Violations Remedied","10/11/2021 12:30:00 AM","10/26/2021 3:57:35 PM",0,NA,11372511.01,6834219.15,"2125",2125,"Whispering Springs Rd","Harrisonburg","VA",22801,"003 C 24","8708c82c-7fbc-4357-8efc-9fa585b1a600","Citizen","P&Z","10/12/2021 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8853325, 38.4144605)
"73",1387,228055,"Code Incident","Tall Grass and Weeds","True",2021-09-24,"2109C-0023-TGW","","765 Foley Rd","Tall grass and weeds on property. ","Violations Remedied","10/7/2021 12:30:00 AM","10/26/2021 4:00:38 PM",0,NA,11380332.96,6836763.14,"765",765,"Foley Rd","Harrisonburg","VA",22801,"084 A 11","5f3f8298-9e6b-4c27-afbc-1cec1147a299","Citizen","P&Z","10/8/2021 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8580676, 38.4215332)
"74",1388,228270,"Code Incident","Tall Grass and Weeds","True",2021-10-01,"2110C-0001-TGW","Anonymous","1040 Star Cir","Tall grass and weeds.","Violations Remedied","10/15/2021 12:30:00 AM","10/26/2021 4:01:35 PM",0,NA,11371393.35,6830075.89,"1040",1040,"Star Cir","Harrisonburg","VA",22801,"097 G 21","95de9d12-7d7e-446a-8cd8-8437d2ad106c","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.889172, 38.4030704)
"75",1504,147450,"Code Incident","Tall Grass and Weeds","True",2018-07-17,"1807C-0046-TGW","Anonymous","241 Blue Ridge Dr","grass","Violations Remedied","7/27/2018 4:00:00 PM","3/24/2022 1:10:07 PM",0,NA,11382279.51,6844280.2,"241",241,"Blue Ridge Dr","Harrisonburg","VA",22802,"028 G  1","65316cb6-5d26-4dac-be18-9b3399cf4efc","CE Officer","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8513737, 38.4421952)
"76",1595,231736,"Code Incident","Tall Grass and Weeds","False",2022-05-24,"2205C-0046-TGW","Anonymous","409 S Main St","Testing Testing Testing ","Tall Weeds and Grass Notice","5/24/2022 11:24:26 AM","5/24/2022 11:51:05 AM",0,NA,11376935.93,6845619.3,"409",409,"S Main St","Harrisonburg","VA",22801,"025 J 10","c042aa8b-e200-434f-a7b0-6ca906473a49","Citizen","P&Z","6/3/2022 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8700494, 38.4458147)
"77",1600,231496,"Code Incident","Tall Grass and Weeds","True",2022-05-09,"2205C-0014-TGW","Anonymous","983 Smith Ave","Tall grass and weeds","Violations Remedied","5/26/2022 4:45:00 PM","5/26/2022 4:34:14 PM",0,NA,11373426.44,6853284.41,"983",983,"Smith Ave","Harrisonburg","VA",22802,"048 I 15","2d435d3a-219a-47de-8c0d-bc6f871b5b2a","Citizen","P&Z","5/26/2022 4:00:00 PM",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8824147, 38.466823)
"78",1601,231495,"Code Incident","Tall Grass and Weeds","True",2022-05-09,"2205C-0013-TGW","Anonymous","981 Smith Ave","Tall Grass and Weeds","Violations Remedied","5/26/2022 4:45:00 PM","5/26/2022 4:34:26 PM",0,NA,11373425.51,6853245.41,"981",981,"Smith Ave","Harrisonburg","VA",22802,"048 I 14","9371b3c5-4677-4fc6-966d-99983e373373","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8824174, 38.4667159)
"79",1602,231334,"Code Incident","Tall Grass and Weeds","True",2022-04-29,"2204C-0024-TGW","Anonymous","1204 Goldfinch Dr","Tall grass","Violations Remedied","4/29/2022 11:15:00 AM","5/27/2022 10:50:44 AM",0,NA,11384302.43,6847488.34,"1204",1204,"Goldfinch Dr","Harrisonburg","VA",22802,"031 G 28","c625bcc9-07a6-4f56-80b0-f251b5917ffc","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8443528, 38.4510256)
"80",1603,231333,"Code Incident","Tall Grass and Weeds","True",2022-04-29,"2204C-0023-TGW","Anonymous","1210 Goldfinch Dr","Tall grass","Violations Remedied","4/29/2022 11:15:00 AM","5/27/2022 10:51:25 AM",0,NA,11384354.22,6847457.21,"1210",1210,"Goldfinch Dr","Harrisonburg","VA",22802,"031 G 31","248a616e-3cbc-4c4f-8f1a-06dc5dd7edc5","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8441715, 38.4509407)
"81",1608,231770,"Code Incident","Tall Grass and Weeds","True",2022-05-26,"2205C-0049-TGW","Anonymous","901 S High St","Tall grass and weeds","Violations Remedied","5/31/2022 12:30:00 PM","5/31/2022 12:25:08 PM",0,NA,11372688.89,6843850.39,"901",901,"S High St","Harrisonburg","VA",22801,"023 B 57","931b397e-95fc-4eee-88fa-a41faee41e89","Citizen","P&Z","",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8848526, 38.4409094)
"82",1620,231318,"Code Incident","Tall Grass and Weeds","True",2022-04-28,"2204C-0022-TGW","Anonymous","847 Stuart St","Complaint about TG&W in the front yard. Pasted to us from Real Estate Office.","Violations Remedied","6/3/2022 4:30:00 PM","6/3/2022 4:23:15 PM",0,NA,11376217.89,6851255.71,"847",847,"Stuart St","Harrisonburg","VA",22802,"039 H 28","5898c62d-f090-4ebe-98f8-02e8fc2b7017","Citizen","P&Z","5/13/2022 5:30:00 PM",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8726364, 38.4612839)
"83",1626,231659,"Code Incident","Tall Grass and Weeds","True",2022-05-18,"2205C-0039-TGW","Tyler Blanks","723 N Liberty St","TGW in the front and side yard.","Violations Remedied","6/10/2022 12:30:00 PM","6/10/2022 12:16:20 PM",0,NA,11377740.91,6850299.61,"723",723,"N Liberty St","Harrisonburg","VA",22802,"040 S  9","74a9ff61-8b9e-495b-bd90-b5e15c41fecb","CE Officer","P&Z","6/1/2022 12:45:00 PM",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8673041, 38.4586754)
"84",1629,231984,"Code Incident","Tall Grass and Weeds","False",2022-06-13,"2206C-0014-TGW","Anonymous","711 Foley Rd","Tall grass and weeds.","Tall Weeds and Grass Notice","6/13/2022 4:01:17 PM","6/13/2022 4:08:25 PM",0,NA,11381279.11,6836837.24,"711",711,"Foley Rd","Harrisonburg","VA",22801,"084 A  2","a64142cd-84b5-4dc3-82ca-deb5c082d7fc","Citizen","P&Z","6/18/2022 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8547661, 38.4217467)
"85",1635,231779,"Code Incident","Tall Grass and Weeds","True",2022-05-27,"2205C-0053-TGW","Anonymous","680 S Mason St","Tall grass","Violations Remedied","6/15/2022 12:30:00 AM","6/15/2022 11:48:52 AM",0,NA,11376807.46,6843993.2,"680",680,"S Mason St","Harrisonburg","VA",22801,"016 D  3","fd6a5f86-4425-4c69-964c-0811aa04f1aa","Citizen","P&Z","6/10/2022 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8704751, 38.4413481)
"86",1636,231902,"Code Incident","Tall Grass and Weeds","True",2022-06-08,"2206C-0009-TGW","Anonymous","98 Kenmore St","Tall Grass and Weeds on the Property","Violations Remedied","6/20/2022 9:58:00 AM","6/15/2022 12:49:32 PM",0,NA,11380324.81,6844910.74,"98",98,"Kenmore St","Harrisonburg","VA",22801,"027 M  5","81ddfc6f-ade6-4ab6-b947-9f73e46fbf11","Citizen","P&Z","6/13/2022 8:45:00 AM",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8582071, 38.4439059)
"87",1637,231919,"Code Incident","Tall Grass and Weeds","True",2022-06-08,"2206C-0010-TGW","Anonymous","206 Campbell St","TGW in the front and rear yard","Violations Remedied","6/16/2022 1:00:00 PM","6/15/2022 12:49:49 PM",0,NA,11377680.33,6845435.76,"206",206,"Campbell St","Harrisonburg","VA",22801,"026 N  1","03cca8e3-0c55-4da7-a952-d70f5504f960","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8674477, 38.4453189)
"88",1645,231805,"Code Incident","Tall Grass and Weeds","True",2022-05-31,"2205C-0065-TGW","Anonymous","411 Collicello St","Tall grass and weeds","Violations Remedied","5/31/2022 3:45:00 PM","6/17/2022 11:35:40 AM",0,NA,11376803.72,6848690.93,"411",411,"Collicello St","Harrisonburg","VA",22802,"035 G  3","20fdfe65-fe11-43c9-b01a-1847e50b18dd","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8705543, 38.4542477)
"89",1660,231856,"Code Incident","Tall Grass and Weeds","True",2022-06-03,"2206C-0008-TGW","Anonymous","105 N Willow St","Tall grass and weeds. ","Violations Remedied","6/27/2022 3:44:00 PM","6/27/2022 10:59:29 AM",0,NA,11375027.22,6848188.09,"105",105,"N Willow St","Harrisonburg","VA",22802,"036 L  1","8901cae4-d599-4dd3-bae7-1fa0b6fa1053","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8767507, 38.4528471)
"90",1662,232019,"Code Incident","Tall Grass and Weeds","True",2022-06-15,"2206C-0022-TGW","Anonymous","2310 Ridgeville Ln","TG&W","Violations Remedied","6/22/2022 12:52:00 PM","6/28/2022 11:05:41 AM",0,NA,11380928.25,6836356.77,"2310",2310,"Ridgeville Ln","Harrisonburg","VA",22801,"084 P  1","91f14100-288e-490a-b83c-31373c79e40a","Citizen","P&Z","6/20/2022 2:30:00 PM",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8559843, 38.4204236)
"91",1664,231789,"Code Incident","Tall Grass and Weeds","True",2022-05-27,"2205C-0058-TGW","Anonymous","141 Emerald Dr","Tall grass and weeds","Violations Remedied","6/13/2022 5:38:00 PM","6/28/2022 11:08:06 AM",0,NA,11384675.7,6837220.4,"141",141,"Emerald Dr","Harrisonburg","VA",22801,"077 J  2","b668e608-157c-4f8f-b055-2c7d95e8782d","Citizen","P&Z","6/5/2022 3:00:00 PM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8429154, 38.4228343)
"92",1668,231522,"Code Incident","Tall Grass and Weeds","True",2022-05-10,"2205C-0017-TGW","Anonymous","1205 Windsor Rd","TGW","Violations Remedied","6/27/2022 12:21:00 PM","6/28/2022 11:08:50 AM",0,NA,11379183.09,6836098.35,"1205",1205,"Windsor Rd","Harrisonburg","VA",22801,"084 D 20","dd44b64b-d846-4bfd-a9c1-f1e5fac4c3b6","Citizen","P&Z","6/9/2022 2:46:00 PM",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8620721, 38.4196953)
