latitude,longitude,name,desc,color
38.414701,-78.865575,1355 Port Republic Rd Harrisonburg        VA      US,-,
38.452625,-78.862112,386 E Gay St Harrisonburg        VA      US,-,
38.452648,-78.862262,376 E Gay St Harrisonburg        VA      US,-,
38.42852,-78.896629,98 Rex Rd Harrisonburg        VA      US,-,
38.45961,-78.854814,Moore St Harrisonburg        VA      US,-,
38.452726,-78.873952,245 Chicago Ave Harrisonburg        VA      US,-,
38.451374,-78.87608,37 Shenandoah Ave Harrisonburg        VA      US,-,
38.450284,-78.866326,110 N Mason St Harrisonburg        VA      US,-,
38.411065,-78.903036,3090 S. Main St Harrisonburg        VA      US,-,
38.460977,-78.867258,1041 Edom Rd Harrisonburg        VA      US,-,
38.454895,-78.859218,287 E Johnson St Harrisonburg        VA      US,-,
38.421482,-78.855955,746 Foley Rd Harrisonburg        VA      US,-,
38.421466,-78.856141,752 Foley Rd Harrisonburg        VA      US,-,
38.435851,-78.887145,101 South Ave Harrisonburg        VA      US,-,
38.429329,-78.88014,233 Monument Ave Harrisonburg        VA      US,-,
38.458383,-78.870434,760 Virginia Ave Harrisonburg        VA      US,-,
38.458648,-78.866984,724 N Liberty St Harrisonburg        VA      US,-,
38.434812,-78.897573,232 Cedar St Harrisonburg        VA      US,-,
38.435164,-78.888653,125 Southampton Dr Harrisonburg        VA      US,-,
38.438941,-78.894376,1131 S Dogwood Dr Harrisonburg        VA      US,-,
38.429089,-78.895401,103 Pleasant Hill Rd Harrisonburg        VA      US,-,
38.42914,-78.895494,105 Pleasant Hill Rd Harrisonburg        VA      US,-,
38.41728,-78.867104,1212 Port Republic Rd Harrisonburg        VA      US,-,
38.455132,-78.860734,205 E Johnson St Harrisonburg        VA      US,-,
38.448185,-78.875334,329 W Bruce St Harrisonburg        VA      US,-,
38.463278,-78.869741,1055 Virginia Ave Harrisonburg        VA      US,-,
38.471777,-78.877994,1200 Park Rd Harrisonburg        VA      US,-,
38.426797,-78.886545,101 Rocco Ave Harrisonburg        VA      US,-,
38.454839,-78.894034,1561 Shenstone Dr Harrisonburg        VA      US,-,
38.454895,-78.859218,287 E Johnson St Harrisonburg        VA      US,-,
38.42139,-78.8541,2203 Reservoir St Harrisonburg        VA      US,-,
38.450678,-78.863222,344 E Wolfe St Harrisonburg        VA      US,-,
38.414146,-78.872982,1550 Kramer Ct Harrisonburg        VA      US,-,
38.460559,-78.872341,830 Stuart St Harrisonburg        VA      US,-,
38.426824,-78.871329,948 Greenbriar Dr Harrisonburg        VA      US,-,
38.45145,-78.849197, Townes at Wellington Park Harrisonburg        VA      US,-,
38.437544,-78.859919,472 Cardinal Dr Harrisonburg        VA      US,-,
38.454871,-78.891978,130 Crestridge Ct Harrisonburg        VA      US,-,
38.428581,-78.839972,1980 Country Club Rd Harrisonburg        VA      US,-,
38.449628,-78.862936,381 E Elizabeth St Harrisonburg        VA      US,-,
38.449603,-78.862753,393 E Elizabeth St Harrisonburg        VA      US,-,
38.449547,-78.862236,402 E Elizabeth St Harrisonburg        VA      US,-,
38.449652,-78.863118,369 E Elizabeth St Harrisonburg        VA      US,-,
38.448734,-78.854829,718 E Market St Harrisonburg        VA      US,-,
38.45589,-78.901069,1911 W Market St Harrisonburg        VA      US,-,
38.458209,-78.870477,740 Virginia Ave Harrisonburg        VA      US,-,
38.451534,-78.869047,Hillmont Apartments Harrisonburg        VA      US,-,
38.435941,-78.895052,1177 Dale Cir Harrisonburg        VA      US,-,
38.459115,-78.855837,1046 Moore St Harrisonburg        VA      US,-,
38.435851,-78.887145,101 South Ave Harrisonburg        VA      US,-,
38.452126,-78.86183,364 Myrtle St Harrisonburg        VA      US,-,
38.432221,-78.892165,98 Emery St Harrisonburg        VA      US,-,
38.45048,-78.844691,1210 Goldfinch Dr Harrisonburg        VA      US,-,
38.46116,-78.872267,847 Stuart St Harrisonburg        VA      US,-,
38.46116,-78.872267,847 Stuart St Harrisonburg        VA      US,-,
38.447944,-78.891618,1061 James Pl Harrisonburg        VA      US,-,
38.44759,-78.892103,1026 James Pl Harrisonburg        VA      US,-,
38.447717,-78.860843,52 Reservoir St Harrisonburg        VA      US,-,
38.454161,-78.871559,404 Virgina Ave Harrisonburg        VA      US,-,
38.466944,-78.877869,1049 Chicago Ave Harrisonburg        VA      US,-,
38.450145,-78.843966,1237 Goldfinch Dr Harrisonburg        VA      US,-,
38.441601,-78.870553,650 S Mason St Harrisonburg        VA      US,-,
38.452921,-78.86164,434 Myrtle St Harrisonburg        VA      US,-,
38.459443,-78.870184,849 Virginia Ave Harrisonburg        VA      US,-,
38.45954,-78.87016,859 Virginia Ave Harrisonburg        VA      US,-,
38.459858,-78.856656,1041 N Main St Harrisonburg        VA      US,-,
38.421482,-78.855955,746 Foley Rd Harrisonburg        VA      US,-,
38.421439,-78.856452,762 Foley Rd Harrisonburg        VA      US,-,
38.451436,-78.872235,144 N High St Harrisonburg        VA      US,-,
38.4502,-78.844041,1232 Goldfinch Dr Harrisonburg        VA      US,-,
38.448488,-78.877231,448 W Bruce St Harrisonburg        VA      US,-,
38.441051,-78.867485,631 Ott St Harrisonburg        VA      US,-,
38.459808,-78.861771,150 Ashby Ave Harrisonburg        VA      US,-,
38.435222,-78.893997,1175 S High St Harrisonburg        VA      US,-,
38.43532,-78.893831,1171 S High St Harrisonburg        VA      US,-,
38.434904,-78.8946,1189 S High St Harrisonburg        VA      US,-,
38.437223,-78.890606,1105 1/2 S High St Harrisonburg        VA      US,-,
